cocoa_percent,year,rating
76.0,2019,3.1944444444444446
68.0,2021,3.3055555555555554
72.0,2021,3.3796296296296298
80.0,2021,3.35
70.0,2012,3.271875
63.0,2012,3.75
70.0,2013,3.2534246575342465
63.0,2013,4.0
70.0,2014,3.308080808080808
70.0,2015,3.3051470588235294
63.0,2016,3.75
70.0,2018,3.232421875
63.0,2018,3.125
70.0,2021,3.339080459770115
74.0,2020,3.25
70.0,2020,3.255
60.0,2011,3.1875
80.0,2011,2.9375
88.0,2011,3.25
72.0,2011,3.4166666666666665
70.0,2019,3.1463414634146343
55.0,2009,2.8333333333333335
70.0,2009,3.2196969696969697
75.0,2010,3.046875
75.0,2011,3.46875
75.0,2013,3.125
65.0,2014,3.125
75.0,2014,3.103448275862069
75.0,2017,3.388888888888889
70.0,2017,3.3653846153846154
60.0,2013,2.9583333333333335
80.0,2013,3.3125
60.0,2016,2.8125
70.0,2007,3.3875
70.0,2008,3.1160714285714284
70.0,2010,3.0869565217391304
70.0,2011,3.2872340425531914
85.0,2009,2.875
72.0,2013,3.1666666666666665
73.0,2013,3.5625
64.0,2015,3.0
66.0,2015,3.125
75.0,2015,3.1982758620689653
63.0,2015,3.375
68.0,2015,3.5416666666666665
66.0,2006,3.375
63.0,2007,3.5
75.0,2018,3.0925925925925926
85.0,2010,2.875
50.0,2010,3.75
60.0,2010,3.5
75.0,2016,3.2934782608695654
75.0,2021,3.3289473684210527
72.0,2014,3.064516129032258
70.0,2016,3.3020833333333335
73.0,2016,3.4285714285714284
73.0,2017,3.392857142857143
72.0,2008,3.111111111111111
72.0,2009,2.8461538461538463
75.0,2009,2.9473684210526314
80.0,2009,2.65625
100.0,2010,1.625
72.0,2010,3.264705882352941
72.0,2012,3.1136363636363638
75.0,2007,3.0833333333333335
77.0,2009,3.5
68.0,2016,3.125
77.0,2018,2.75
80.0,2015,3.1052631578947367
72.0,2019,3.294642857142857
82.0,2019,2.75
72.0,2017,3.2
80.0,2017,3.5
80.0,2012,2.90625
65.0,2016,3.3333333333333335
80.0,2016,2.84375
90.0,2016,2.625
64.0,2010,3.05
71.0,2010,3.425
83.0,2016,3.125
78.0,2016,3.3
72.0,2018,3.1597222222222223
74.0,2013,3.1785714285714284
55.0,2012,2.75
74.0,2010,3.5
64.0,2011,3.6666666666666665
76.0,2015,2.875
78.0,2015,3.1666666666666665
86.0,2015,3.25
71.0,2008,3.05
75.0,2008,2.9375
68.0,2008,3.75
65.0,2009,3.375
65.0,2010,3.1944444444444446
78.0,2010,3.375
82.0,2013,3.3333333333333335
82.0,2016,3.25
68.0,2019,3.15
74.0,2019,3.0833333333333335
100.0,2006,1.5
75.0,2006,3.4038461538461537
100.0,2009,1.5
62.0,2021,3.125
85.0,2013,3.5
60.0,2015,3.1
68.0,2014,2.9
68.0,2013,3.3125
60.0,2014,3.0
72.0,2007,3.1785714285714284
66.0,2007,3.0
74.0,2014,3.0
74.0,2015,3.25
77.0,2015,3.0
75.0,2019,3.025
69.0,2014,2.75
64.0,2014,3.125
72.0,2015,3.2857142857142856
71.0,2016,3.1666666666666665
74.0,2016,3.4642857142857144
65.0,2011,3.2777777777777777
66.0,2011,3.5625
77.0,2010,3.0
72.0,2020,2.9722222222222223
91.0,2008,1.5
82.0,2008,2.5
63.0,2008,3.75
60.0,2008,2.75
78.0,2011,2.25
100.0,2013,2.642857142857143
77.0,2008,2.4166666666666665
55.0,2008,3.25
71.0,2019,2.96875
65.0,2019,3.1
76.0,2014,3.4166666666666665
72.0,2016,3.230769230769231
74.0,2017,3.375
68.0,2018,3.2857142857142856
55.0,2010,2.8333333333333335
83.0,2021,3.25
69.0,2021,3.25
82.0,2014,3.25
65.0,2015,3.0357142857142856
68.0,2011,3.5416666666666665
82.0,2012,2.6666666666666665
68.0,2012,3.3214285714285716
69.0,2015,3.75
76.0,2018,2.75
73.0,2021,3.35
71.0,2007,2.6875
60.0,2009,3.107142857142857
75.0,2020,3.2857142857142856
67.0,2020,3.75
42.0,2013,2.75
73.0,2019,2.9583333333333335
61.0,2009,3.0
100.0,2008,2.0
80.0,2008,2.75
73.5,2010,3.75
79.0,2021,3.5
73.0,2015,3.34375
77.0,2021,3.1875
88.0,2008,2.875
62.0,2009,3.25
100.0,2012,1.5
85.0,2012,3.25
65.0,2013,3.0714285714285716
70.0,2006,2.7916666666666665
75.0,2012,3.0972222222222223
65.0,2012,2.9
67.0,2012,3.25
64.0,2012,2.875
83.0,2014,2.75
85.0,2016,3.0
65.0,2018,2.5
58.0,2012,3.375
64.0,2007,3.25
60.0,2007,3.125
66.0,2008,3.75
64.0,2009,3.21875
80.0,2018,3.357142857142857
77.0,2007,3.1666666666666665
74.0,2011,3.25
76.0,2013,3.5
73.0,2020,3.35
85.0,2015,3.3
78.0,2008,3.5
71.5,2018,2.75
78.0,2021,3.25
71.0,2011,3.0
80.0,2019,3.25
74.0,2008,3.0
58.0,2008,2.5
61.0,2008,3.0
60.5,2009,2.75
79.0,2015,3.0
80.0,2010,3.25
80.0,2014,3.2142857142857144
74.0,2009,2.75
81.0,2009,3.5
65.0,2021,3.0
55.0,2011,2.5
62.0,2011,2.8333333333333335
76.0,2016,2.9166666666666665
62.0,2006,2.5
64.0,2006,3.15
65.0,2006,3.1785714285714284
74.0,2006,3.0
72.0,2006,3.5625
68.0,2006,3.0
58.0,2010,3.25
85.0,2014,2.8125
69.0,2019,3.5
67.0,2016,3.75
60.0,2012,3.25
60.0,2018,2.75
85.0,2018,3.0
81.0,2012,2.0
66.0,2012,3.55
66.0,2013,3.25
76.0,2011,2.75
69.0,2012,3.5416666666666665
74.0,2012,3.5
74.0,2021,3.3
85.0,2019,3.1666666666666665
77.0,2017,3.25
77.0,2016,3.25
82.0,2010,3.5
76.0,2009,2.875
61.0,2006,3.25
65.0,2008,3.1666666666666665
64.0,2008,3.0
91.0,2009,3.0
61.0,2011,3.25
100.0,2014,2.0
66.0,2014,3.1666666666666665
55.0,2014,2.75
67.0,2015,3.25
64.0,2016,2.75
67.0,2014,3.5833333333333335
57.0,2015,2.75
73.0,2018,3.05
74.0,2018,2.75
71.0,2018,3.1666666666666665
66.0,2016,3.5
58.0,2009,3.375
90.0,2013,3.375
61.0,2016,2.5
77.0,2014,3.125
71.0,2006,2.5
67.0,2017,3.0
65.0,2017,3.5625
68.0,2017,3.5
78.0,2017,3.75
66.0,2018,3.125
55.0,2013,2.8333333333333335
62.0,2013,3.25
68.0,2020,3.4166666666666665
71.5,2019,3.5
85.0,2008,2.8125
90.0,2014,3.25
72.5,2014,2.75
68.0,2009,3.25
69.0,2009,3.5
56.0,2013,3.25
71.0,2014,3.5
85.0,2007,2.625
71.0,2013,3.0
78.0,2018,3.625
81.0,2017,3.25
46.0,2010,2.75
67.0,2008,3.625
73.0,2007,2.25
62.0,2015,3.0833333333333335
76.0,2012,2.75
78.0,2012,3.75
89.0,2013,2.625
81.0,2010,2.75
81.0,2011,2.75
73.0,2011,2.8
73.0,2012,3.0
63.0,2014,3.5
65.0,2020,3.25
67.0,2018,3.75
60.0,2006,2.5
85.0,2006,2.0
99.0,2006,2.0
67.0,2006,3.75
67.0,2007,3.5
69.0,2017,3.25
90.0,2021,3.0
67.0,2019,2.75
67.0,2010,2.75
76.0,2021,3.25
58.0,2013,2.5
71.0,2012,2.5
78.0,2013,3.5
73.5,2014,2.5
73.0,2006,2.0
88.0,2014,3.125
100.0,2016,2.75
100.0,2021,3.0
67.0,2009,3.125
85.0,2011,3.0833333333333335
78.0,2014,3.75
67.0,2013,3.5833333333333335
73.0,2014,3.25
82.0,2015,3.125
71.0,2021,2.75
66.0,2021,3.0
80.0,2006,3.75
66.0,2017,3.5
77.0,2011,2.75
84.0,2012,2.5
83.0,2012,2.75
53.0,2006,2.0
82.0,2006,2.0
62.0,2007,3.0
68.0,2010,3.25
67.0,2011,2.25
100.0,2015,3.0
77.0,2013,3.75
88.0,2013,4.0
62.0,2016,2.75
84.0,2013,2.25
84.0,2014,3.5
88.0,2015,3.25
67.0,2021,2.75
87.0,2011,3.25
99.0,2012,3.25
77.0,2019,3.125
91.0,2007,2.0
84.0,2007,3.0
65.0,2007,3.4166666666666665
81.0,2014,3.25
77.0,2012,3.0
63.0,2011,3.75
66.0,2009,3.75
56.0,2011,3.25
64.0,2013,3.5
60.0,2017,3.25
100.0,2007,2.0
90.0,2007,2.0
69.0,2010,3.75
90.0,2012,3.25
62.0,2012,3.75
